,MMP,X,Y,Z,Yeo7,YeoDesc7,Yeo17,YeoDesc17
74,L_45_ROI,-47.030643463134766,27.773799896240234,3.4861083030700684,7.0,Default,17.0,DMN_4
75,L_47l_ROI,-44.04367446899414,31.00741195678711,-10.731820106506348,7.0,Default,17.0,DMN_4
76,L_a47r_ROI,-38.60352325439453,44.848960876464844,-10.185622215270996,7.0,Default,13.0,CentralExecutive_3
77,L_6r_ROI,-51.27801513671875,5.037272930145264,15.250167846679688,4.0,VentralAttention,7.0,Salience_1
78,L_IFJa_ROI,-39.006046295166016,12.296940803527832,23.239608764648438,6.0,Frontoparietal,12.0,CentralExecutive_2
79,L_IFJp_ROI,-39.342140197753906,2.433098077774048,27.013525009155273,3.0,DorsalAttention,12.0,CentralExecutive_2
80,L_IFSp_ROI,-43.98149108886719,21.215065002441406,19.608726501464844,6.0,Frontoparietal,12.0,CentralExecutive_2
81,L_IFSa_ROI,-43.013893127441406,30.515901565551758,11.412761688232422,6.0,Frontoparietal,12.0,CentralExecutive_2
82,L_p9-46v_ROI,-42.37770462036133,29.012189865112305,26.50082778930664,6.0,Frontoparietal,12.0,CentralExecutive_2
83,L_46_ROI,-35.704803466796875,35.53193664550781,28.162059783935547,6.0,Frontoparietal,8.0,Salience_2
84,L_a9-46v_ROI,-36.41436004638672,47.3135986328125,7.440567493438721,6.0,Frontoparietal,13.0,CentralExecutive_3
85,L_9-46d_ROI,-27.95348358154297,42.28417205810547,20.420560836791992,6.0,Frontoparietal,8.0,Salience_2
86,L_9a_ROI,-18.857452392578125,53.284034729003906,23.07578468322754,7.0,Default,17.0,DMN_4
87,L_10v_ROI,-4.767873287200928,47.20466232299805,-20.24302864074707,5.0,Limbic,10.0,Limbic_2
88,L_a10p_ROI,-24.37325096130371,54.282474517822266,-5.672636985778809,7.0,Default,13.0,CentralExecutive_3
89,L_10pp_ROI,-11.440895080566406,57.96392822265625,-14.401429176330566,5.0,Limbic,10.0,Limbic_2
90,L_11l_ROI,-24.06669044494629,43.78819274902344,-12.478981018066406,6.0,Frontoparietal,10.0,Limbic_2
91,L_13l_ROI,-21.556432723999023,26.41547393798828,-17.734189987182617,5.0,Limbic,10.0,Limbic_2
92,L_OFC_ROI,-10.538378715515137,30.72907829284668,-21.855817794799805,5.0,Limbic,10.0,Limbic_2
93,L_47s_ROI,-30.67831039428711,20.789173126220703,-17.685924530029297,7.0,Default,17.0,DMN_4
94,L_LIPd_ROI,-28.40481948852539,-55.30528259277344,40.02187728881836,3.0,DorsalAttention,12.0,CentralExecutive_2
95,L_6a_ROI,-23.623777389526367,-3.7996137142181396,52.40561294555664,3.0,DorsalAttention,6.0,Attention_2
96,L_i6-8_ROI,-30.615158081054688,7.29391622543335,51.95283126831055,6.0,Frontoparietal,13.0,CentralExecutive_3
97,L_s6-8_ROI,-20.906646728515625,21.669795989990234,54.219940185546875,7.0,Default,16.0,DMN_3
98,L_43_ROI,-55.449039459228516,-1.0880829095840454,8.943192481994629,4.0,VentralAttention,7.0,Salience_1
99,L_OP4_ROI,-57.94471740722656,-12.327983856201172,14.984562873840332,2.0,Somatomotor,4.0,Somatomotor_2
100,L_OP1_ROI,-47.12965774536133,-22.01695442199707,19.095252990722656,2.0,Somatomotor,4.0,Somatomotor_2
101,L_OP2-3_ROI,-40.01888656616211,-16.21201515197754,18.347721099853516,2.0,Somatomotor,4.0,Somatomotor_2
102,L_52_ROI,-39.50809097290039,-23.014530181884766,-2.2613613605499268,2.0,Somatomotor,4.0,Somatomotor_2
103,L_RI_ROI,-39.256500244140625,-34.9764518737793,17.372896194458008,2.0,Somatomotor,4.0,Somatomotor_2
104,L_PFcm_ROI,-50.396053314208984,-32.52424621582031,21.038942337036133,4.0,VentralAttention,7.0,Salience_1
105,L_PoI2_ROI,-36.8012809753418,-4.49358606338501,-3.5584776401519775,4.0,VentralAttention,7.0,Salience_1
106,L_TA2_ROI,-51.927650451660156,0.5110155344009399,-10.466009140014648,2.0,Somatomotor,4.0,Somatomotor_2
107,L_FOP4_ROI,-38.241024017333984,13.317986488342285,8.275219917297363,4.0,VentralAttention,7.0,Salience_1
108,L_MI_ROI,-33.96112823486328,8.270954132080078,1.5740928649902344,4.0,VentralAttention,7.0,Salience_1
109,L_Pir_ROI,-31.499969482421875,4.295990943908691,-19.222211837768555,5.0,Limbic,7.0,Salience_1
110,L_AVI_ROI,-28.86115074157715,23.73291015625,-3.959841251373291,6.0,Frontoparietal,8.0,Salience_2
111,L_AAIC_ROI,-31.15415382385254,11.476855278015137,-11.545413970947266,4.0,VentralAttention,8.0,Salience_2
112,L_FOP1_ROI,-49.72886657714844,3.17706561088562,5.157970428466797,4.0,VentralAttention,7.0,Salience_1
113,L_FOP3_ROI,-34.70644760131836,3.4111292362213135,12.574865341186523,4.0,VentralAttention,7.0,Salience_1
114,L_FOP2_ROI,-41.923851013183594,-3.5447049140930176,14.469054222106934,2.0,Somatomotor,7.0,Salience_1
115,L_PFt_ROI,-50.42081832885742,-29.172809600830078,34.6661376953125,3.0,DorsalAttention,6.0,Attention_2
116,L_AIP_ROI,-35.92210006713867,-41.5251579284668,39.77193832397461,3.0,DorsalAttention,6.0,Attention_2
117,L_EC_ROI,-22.407377243041992,-13.696452140808105,-29.326642990112305,5.0,Limbic,9.0,Limbic_1
118,L_PreS_ROI,-19.637121200561523,-32.96651077270508,-12.36872673034668,7.0,Default,15.0,DMN_2
119,L_H_ROI,-31.191402435302734,-27.65392303466797,-17.10061264038086,0.0,Undefined,0.0,Undefined
120,L_ProS_ROI,-21.587371826171875,-55.79141616821289,2.076718330383301,1.0,Visual,2.0,Visual_2
121,L_PeEc_ROI,-30.141338348388672,-9.903678894042969,-32.5738525390625,5.0,Limbic,9.0,Limbic_1
122,L_STGa_ROI,-49.69027328491211,11.196050643920898,-19.894535064697266,7.0,Default,14.0,DMN_1
123,L_PBelt_ROI,-53.9423713684082,-24.86189079284668,3.551694393157959,2.0,Somatomotor,4.0,Somatomotor_2
124,L_A5_ROI,-60.452545166015625,-16.514423370361328,-2.842824697494507,2.0,Somatomotor,14.0,DMN_1
125,L_PHA1_ROI,-22.0542049407959,-35.54342269897461,-15.423864364624023,1.0,Visual,15.0,DMN_2
126,L_PHA3_ROI,-34.414772033691406,-38.4830436706543,-17.203638076782227,1.0,Visual,15.0,DMN_2
127,L_STSda_ROI,-52.64662170410156,-8.561781883239746,-12.264800071716309,7.0,Default,14.0,DMN_1
128,L_STSdp_ROI,-51.26211166381836,-32.85228729248047,-1.9099146127700806,7.0,Default,14.0,DMN_1
129,L_STSvp_ROI,-54.080955505371094,-35.36699676513672,-8.029266357421875,7.0,Default,17.0,DMN_4
130,L_TGd_ROI,-37.1339111328125,8.5989408493042,-33.868526458740234,5.0,Limbic,9.0,Limbic_1
131,L_TE1a_ROI,-57.68362045288086,-9.497961044311523,-24.130537033081055,7.0,Default,17.0,DMN_4
132,L_TE1p_ROI,-59.0938606262207,-44.465110778808594,-12.056777000427246,7.0,Default,13.0,CentralExecutive_3
133,L_TE2a_ROI,-52.36417007446289,-21.874404907226562,-29.972049713134766,5.0,Limbic,17.0,DMN_4
134,L_TF_ROI,-40.80282974243164,-21.48024559020996,-27.301002502441406,5.0,Limbic,9.0,Limbic_1
135,L_TE2p_ROI,-47.40814208984375,-39.909786224365234,-21.338092803955078,3.0,DorsalAttention,5.0,Attention_1
136,L_PHT_ROI,-56.649810791015625,-56.64692687988281,-1.2575886249542236,3.0,DorsalAttention,12.0,CentralExecutive_2
137,L_PH_ROI,-45.433876037597656,-61.27714920043945,-9.033102035522461,3.0,DorsalAttention,5.0,Attention_1
138,L_TPOJ1_ROI,-51.945335388183594,-45.256629943847656,6.920772552490234,7.0,Default,14.0,DMN_1
139,L_TPOJ2_ROI,-48.23332977294922,-60.62821960449219,9.377789497375488,3.0,DorsalAttention,14.0,DMN_1
140,L_TPOJ3_ROI,-42.41013717651367,-69.8902816772461,13.994585037231445,3.0,DorsalAttention,5.0,Attention_1
141,L_DVT_ROI,-18.834257125854492,-70.76654815673828,28.283132553100586,1.0,Visual,2.0,Visual_2
142,L_PGp_ROI,-39.69779586791992,-79.77900695800781,20.518505096435547,3.0,DorsalAttention,5.0,Attention_1
143,L_IP2_ROI,-40.367061614990234,-51.73881149291992,37.381614685058594,6.0,Frontoparietal,12.0,CentralExecutive_2
144,L_IP1_ROI,-31.33480453491211,-67.08023071289062,39.2606086730957,6.0,Frontoparietal,12.0,CentralExecutive_2
145,L_IP0_ROI,-32.21979904174805,-75.68357849121094,23.311965942382812,1.0,Visual,5.0,Attention_1
146,L_PFop_ROI,-59.22374725341797,-23.390193939208984,25.37972068786621,4.0,VentralAttention,7.0,Salience_1
147,L_PF_ROI,-55.743770599365234,-39.556793212890625,35.12884521484375,4.0,VentralAttention,7.0,Salience_1
148,L_PFm_ROI,-48.34642791748047,-56.44613265991211,37.59474563598633,7.0,Default,13.0,CentralExecutive_3
149,L_PGi_ROI,-43.41389846801758,-58.9127082824707,21.96074676513672,7.0,Default,17.0,DMN_4
150,L_PGs_ROI,-39.907344818115234,-71.46095275878906,34.21291732788086,7.0,Default,16.0,DMN_3
151,L_V6A_ROI,-18.95867156982422,-83.39327239990234,37.915748596191406,1.0,Visual,2.0,Visual_2
152,L_VMV1_ROI,-20.21310043334961,-53.81793212890625,-6.2493391036987305,1.0,Visual,2.0,Visual_2
153,L_VMV3_ROI,-30.234661102294922,-61.572574615478516,-10.611802101135254,1.0,Visual,1.0,Visual_1
154,L_PHA2_ROI,-31.076215744018555,-36.217987060546875,-14.02657699584961,7.0,Default,15.0,DMN_2
155,L_V4t_ROI,-42.90032958984375,-75.78546142578125,-1.701141357421875,1.0,Visual,1.0,Visual_1
156,L_FST_ROI,-47.20802688598633,-63.99913024902344,-1.7562347650527954,3.0,DorsalAttention,5.0,Attention_1
157,L_V3CD_ROI,-33.91303634643555,-85.57727813720703,10.368541717529297,1.0,Visual,1.0,Visual_1
158,L_LO3_ROI,-44.19772720336914,-78.60665893554688,8.689589500427246,1.0,Visual,5.0,Attention_1
159,L_VMV2_ROI,-28.117521286010742,-54.65874481201172,-6.23207950592041,1.0,Visual,2.0,Visual_2
160,L_31pd_ROI,-12.003769874572754,-51.659019470214844,34.43259811401367,7.0,Default,16.0,DMN_3
161,L_31a_ROI,-6.931823253631592,-37.3502311706543,41.61402893066406,7.0,Default,16.0,DMN_3
162,L_VVC_ROI,-32.1761474609375,-51.43490219116211,-18.34523582458496,1.0,Visual,1.0,Visual_1
163,L_25_ROI,-6.365339756011963,22.4202823638916,-14.034253120422363,5.0,Limbic,10.0,Limbic_2
164,L_s32_ROI,-8.068097114562988,32.88410949707031,-14.75186538696289,5.0,Limbic,10.0,Limbic_2
165,L_pOFC_ROI,-14.27305793762207,13.850602149963379,-17.387264251708984,5.0,Limbic,10.0,Limbic_2
166,L_PoI1_ROI,-37.42763900756836,-12.15208625793457,-8.388218879699707,4.0,VentralAttention,7.0,Salience_1
167,L_Ig_ROI,-34.580806732177734,-15.504298210144043,13.609957695007324,2.0,Somatomotor,4.0,Somatomotor_2
168,L_FOP5_ROI,-34.37181854248047,27.553316116333008,4.228495121002197,4.0,VentralAttention,8.0,Salience_2
169,L_p10p_ROI,-20.82444190979004,57.34577178955078,2.996027708053589,7.0,Default,16.0,DMN_3
170,L_p47r_ROI,-41.530975341796875,40.010982513427734,-0.5249826312065125,6.0,Frontoparietal,13.0,CentralExecutive_3
171,L_TGv_ROI,-37.57152557373047,-2.594599962234497,-41.22465133666992,5.0,Limbic,9.0,Limbic_1
172,L_MBelt_ROI,-45.205116271972656,-18.98868179321289,1.1694998741149902,2.0,Somatomotor,4.0,Somatomotor_2
